         日期         ,         时间         ,       数值       ,       限值       ,       类型       ,       确认       ,               描述               
2020/04/23,09:48:13,打开,关闭->打开,开关量报警,未确认,运输通讯状态
2020/04/22,17:12:30,打开,关闭->打开,开关量报警,未确认,运输通讯状态
2020/04/22,15:07:33,打开,关闭->打开,开关量报警,未确认,运输通讯状态
2020/04/22,14:56:35,打开,关闭->打开,开关量报警,未确认,运输通讯状态
2020/04/22,14:28:07,打开,关闭->打开,开关量报警,未确认,运输通讯状态
2020/04/22,13:13:49,打开,关闭->打开,开关量报警,未确认,运输通讯状态
2020/04/22,12:03:46,关闭,关闭->打开,开关量报警,恢复,运输通讯状态
2020/04/22,11:45:29,打开,关闭->打开,开关量报警,未确认,运输通讯状态
2020/04/22,10:44:45,打开,关闭->打开,开关量报警,未确认,运输通讯状态
2020/04/22,10:37:35,打开,关闭->打开,开关量报警,未确认,运输通讯状态
