点名称,参数名称,保存方式,参数
yf\VD500,PV,1,10
yf\VD504,PV,1,10
yf\VD508,PV,1,10
yf\VD512,PV,1,10
yf\VD516,PV,1,10
yf\VD520,PV,1,10
yf\VD524,PV,1,10
pd\VD900,PV,1,10
pd\VD904,PV,1,10
pd\VD908,PV,1,10
pd\VD912,PV,1,10
pd\VD916,PV,1,10
pd\VD920,PV,1,10
pd\VD924,PV,1,10
pd\VD928,PV,1,10
pd\VD932,PV,1,10
pd\VD936,PV,1,10
pd\VD940,PV,1,10
pd\VD944,PV,1,10
pd\VD948,PV,1,10
pd\VD952,PV,1,10
pd\VD956,PV,1,10
pd\VD960,PV,1,10
pd\VD964,PV,1,10
pd\VD968,PV,1,10
pd\VD972,PV,1,10
pd\VD976,PV,1,10
pd\VD980,PV,1,10
pd\VD984,PV,1,10
ys\DM645,PV,1,10
ys\DM644,PV,1,10
ys\DM646,PV,1,10
ys\2_DM625,PV,1,10
ys\2_DM624,PV,1,10
ys\2_DM626,PV,1,10
zs\VD500,PV,1,10
zs\VD504,PV,1,10
zs\VD508,PV,1,10
zs\VD512,PV,1,10
zs\VD516,PV,1,10
zs\VD520,PV,1,10
zs\VD524,PV,1,10
zs\VD578,PV,1,10
zs\VD582,PV,1,10
zs\VD586,PV,1,10
zs\VD590,PV,1,10
zs\VD594,PV,1,10
zs\VD598,PV,1,10
zs\VD602,PV,1,10
zs\VD606,PV,1,10
zs\VD610,PV,1,10
zs\VD614,PV,1,10
js1250\VD650,PV,1,10
js1250\VD654,PV,1,10
js1250\VW150,PV,1,10
js1250\VW152,PV,1,10
js1250\VW154,PV,1,10
js1250\VW156,PV,1,10
js1250\VW158,PV,1,10
js1250\VW160,PV,1,10
js1250\VW350,PV,1,10
js1250\VW352,PV,1,10
js1250\VW354,PV,1,10
js1250\VW356,PV,1,10
js1250\VW358,PV,1,10
js1250\VW360,PV,1,10
js1330\VD600,PV,1,10
js1330\VD604,PV,1,10
js1330\VD650,PV,1,10
js1330\VD654,PV,1,10
js1330\VW150,PV,1,10
js1330\VW152,PV,1,10
js1330\VW154,PV,1,10
js1330\VW156,PV,1,10
js1330\VW158,PV,1,10
js1330\VW160,PV,1,10
js1330\VW350,PV,1,10
js1330\VW352,PV,1,10
js1330\VW354,PV,1,10
js1330\VW356,PV,1,10
js1330\VW358,PV,1,10
js1330\VW360,PV,1,10
ps\显示数据\DB1_12,PV,1,10
ps\显示数据\DB1_16,PV,1,10
ps\显示数据\DB1_20,PV,1,10
ps\显示数据\DB1_24,PV,1,10
ps\显示数据\DB1_28,PV,1,10
ps\显示数据\DB1_32,PV,1,10
ps\显示数据\DB1_36,PV,1,10
ps\显示数据\DB1_40,PV,1,10
ps\显示数据\DB1_44,PV,1,10
ps\显示数据\DB1_48,PV,1,10
ps\显示数据\DB1_52,PV,1,10
ps\显示数据\DB1_56,PV,1,10
ps\显示数据\DB2_0,PV,0,1.000000
ps\显示数据\DB2_4,PV,0,1.000000
ps\显示数据\DB2_8,PV,0,1.000000
ps\显示数据\DB2_12,PV,0,1.000000
ps\显示数据\DB2_16,PV,0,1.000000
ps\显示数据\DB2_20,PV,0,1.000000
ws\传感器数据\ZQ_1,PV,1,10
ws\传感器数据\ZQ_2,PV,1,10
ws\传感器数据\ZQ_3,PV,1,10
ws\传感器数据\ZQ_4,PV,1,10
ws\传感器数据\ZQ_5,PV,1,10
ws\传感器数据\ZQ_6,PV,1,10
ws\传感器数据\ZQ_7,PV,1,10
ws\传感器数据\ZQ_8,PV,1,10
ws\传感器数据\ZQ_9,PV,1,10
ws\传感器数据\ZQ_10,PV,1,10
ws\传感器数据\ZQ_11,PV,1,10
ws\传感器数据\ZQ_12,PV,1,10
ws\传感器数据\ZQ_13,PV,1,10
ws\传感器数据\ZQ_14,PV,1,10
ws\传感器数据\ZQ_15,PV,1,10
ws\传感器数据\ZQ_16,PV,1,10
jxpd\vi\Uab_1,PV,1,10
jxpd\vi\Ubc_1,PV,1,10
jxpd\vi\Uac_1,PV,1,10
jxpd\vi\Ia_1,PV,1,10
jxpd\vi\Ib_1,PV,1,10
jxpd\vi\Ic_1,PV,1,10
jxpd\vi\WP_1,PV,1,10
jxpd\vi\Uab_2,PV,1,10
jxpd\vi\Ubc_2,PV,1,10
jxpd\vi\Uac_2,PV,1,10
jxpd\vi\Ia_2,PV,1,10
jxpd\vi\Ib_2,PV,1,10
jxpd\vi\Ic_2,PV,1,10
jxpd\vi\WP_2,PV,1,10
jxpd\vi\Uab_3,PV,1,10
jxpd\vi\Ubc_3,PV,1,10
jxpd\vi\Uac_3,PV,1,10
jxpd\vi\Ia_3,PV,1,10
jxpd\vi\Ib_3,PV,1,10
jxpd\vi\Ic_3,PV,1,10
jxpd\vi\WP_3,PV,1,10
jxpd\vi\Uab_4,PV,1,10
jxpd\vi\Ubc_4,PV,1,10
jxpd\vi\Uac_4,PV,1,10
jxpd\vi\Ia_4,PV,1,10
jxpd\vi\Ib_4,PV,1,10
jxpd\vi\Ic_4,PV,1,10
jxpd\vi\WP_4,PV,1,10
jxpd\vi\Uab_5,PV,1,10
jxpd\vi\Ubc_5,PV,1,10
jxpd\vi\Uac_5,PV,1,10
jxpd\vi\Ia_5,PV,1,10
jxpd\vi\Ib_5,PV,1,10
jxpd\vi\Ic_5,PV,1,10
jxpd\vi\WP_5,PV,1,10
jxpd\vi\Uab_6,PV,1,10
jxpd\vi\Ubc_6,PV,1,10
jxpd\vi\Uac_6,PV,1,10
jxpd\vi\Ia_6,PV,1,10
jxpd\vi\Ib_6,PV,1,10
jxpd\vi\Ic_6,PV,1,10
jxpd\vi\WP_6,PV,1,10
jxpd\vi\Uab_7,PV,1,10
jxpd\vi\Ubc_7,PV,1,10
jxpd\vi\Uac_7,PV,1,10
jxpd\vi\Ia_7,PV,1,10
jxpd\vi\Ib_7,PV,1,10
jxpd\vi\Ic_7,PV,1,10
jxpd\vi\WP_7,PV,1,10
jxpd\vi\Uab_8,PV,1,10
jxpd\vi\Ubc_8,PV,1,10
jxpd\vi\Uac_8,PV,1,10
jxpd\vi\Ia_8,PV,1,10
jxpd\vi\Ib_8,PV,1,10
jxpd\vi\Ic_8,PV,1,10
jxpd\vi\WP_8,PV,1,10
jxpd\vi\Uab_9,PV,1,10
jxpd\vi\Ubc_9,PV,1,10
jxpd\vi\Uac_9,PV,1,10
jxpd\vi\Ia_9,PV,1,10
jxpd\vi\Ib_9,PV,1,10
jxpd\vi\Ic_9,PV,1,10
jxpd\vi\WP_9,PV,1,10
jxpd1\vi\Uab_20,PV,1,10
jxpd1\vi\Ubc_20,PV,1,10
jxpd1\vi\Uac_20,PV,1,10
jxpd1\vi\Ia_20,PV,1,10
jxpd1\vi\Ib_20,PV,1,10
jxpd1\vi\Ic_20,PV,1,10
jxpd1\vi\WP_20,PV,1,10
jxpd1\vi\Uab_21,PV,1,10
jxpd1\vi\Ubc_21,PV,1,10
jxpd1\vi\Uac_21,PV,1,10
jxpd1\vi\Ia_21,PV,1,10
jxpd1\vi\Ib_21,PV,1,10
jxpd1\vi\Ic_21,PV,1,10
jxpd1\vi\WP_21,PV,1,10
jxpd1\vi\Uab_22,PV,1,10
jxpd1\vi\Ubc_22,PV,1,10
jxpd1\vi\Uac_22,PV,1,10
jxpd1\vi\Ia_22,PV,1,10
jxpd1\vi\Ib_22,PV,1,10
jxpd1\vi\Ic_22,PV,1,10
jxpd1\vi\WP_22,PV,1,10
jxpd1\vi\Uab_23,PV,1,10
jxpd1\vi\Ubc_23,PV,1,10
jxpd1\vi\Uac_23,PV,1,10
jxpd1\vi\Ia_23,PV,1,10
jxpd1\vi\Ib_23,PV,1,10
jxpd1\vi\Ic_23,PV,1,10
jxpd1\vi\WP_23,PV,1,10
jxpd1\vi\Uab_24,PV,1,10
jxpd1\vi\Ubc_24,PV,1,10
jxpd1\vi\Uac_24,PV,1,10
jxpd1\vi\Ia_24,PV,1,10
jxpd1\vi\Ib_24,PV,1,10
jxpd1\vi\Ic_24,PV,1,10
jxpd1\vi\WP_24,PV,1,10
jxpd1\vi\Uab_25,PV,1,10
jxpd1\vi\Ubc_25,PV,1,10
jxpd1\vi\Uac_25,PV,1,10
jxpd1\vi\Ia_25,PV,1,10
jxpd1\vi\Ib_25,PV,1,10
jxpd1\vi\Ic_25,PV,1,10
jxpd1\vi\WP_25,PV,1,10
jxpd1\vi\Uab_26,PV,1,10
jxpd1\vi\Ubc_26,PV,1,10
jxpd1\vi\Uac_26,PV,1,10
jxpd1\vi\Ia_26,PV,1,10
jxpd1\vi\Ib_26,PV,1,10
jxpd1\vi\Ic_26,PV,1,10
jxpd1\vi\WP_26,PV,1,10
ps\显示数据\LLJ1_ssll,PV,1,10
ps\显示数据\LLJ1_ljll,PV,1,10
ps\显示数据\LLJ2_ssll,PV,1,10
ps\显示数据\LLJ2_ljll,PV,1,10
zs\VD624,PV,1,10
ps\显示数据\DL1,PV,1,10
ps\显示数据\DL2,PV,1,10
ps\显示数据\DL3,PV,1,10
pd\DY1,PV,1,10
pd\DY2,PV,1,10
pd\DY3,PV,1,10
pd\DY4,PV,1,10
pd\DY5,PV,1,10
pd\DY6,PV,1,10
pd\DY7,PV,1,10
pd\DY8,PV,1,10
pd\DY9,PV,1,10
pd\DY10,PV,1,10
pd\DY11,PV,1,10
ys\DL1,PV,1,10
ys\DL2,PV,1,10
ys\DY1,PV,1,10
ys\DY2,PV,1,10
ws\传感器数据\DL1,PV,1,10
ws\传感器数据\DL2,PV,1,10
ws\传感器数据\DL3,PV,1,10
ws\传感器数据\DL4,PV,1,10
ws\传感器数据\DY1,PV,1,10
ws\传感器数据\DY2,PV,1,10
ws\传感器数据\DY3,PV,1,10
ws\传感器数据\DY4,PV,1,10
ws\I1_0,PV,0,1.000000
ws\I1_1,PV,0,1.000000
ws\I1_2,PV,0,1.000000
ws\I1_3,PV,0,1.000000
ps\显示状态\DB1_4,PV,0,1.000000
ps\显示状态\DB1_5,PV,0,1.000000
ps\显示状态\DB1_6,PV,0,1.000000
CS,PV,0,1.000000
ys\yunxing_1,PV,0,1.000000
ys\yunxing_2,PV,0,1.000000
ws\JQF_1,PV,0,1.000000
ws\JQF_2,PV,0,1.000000
ws\JQF_3,PV,0,1.000000
ws\JQF_4,PV,0,1.000000
ws\CQF_1,PV,0,1.000000
ws\CQF_2,PV,0,1.000000
ws\CQF_3,PV,0,1.000000
ws\CQF_4,PV,0,1.000000
ws\JSF_1,PV,0,1.000000
ws\JSF_2,PV,0,1.000000
ws\JSF_3,PV,0,1.000000
ws\JSF_4,PV,0,1.000000
